Date	ConfirmedCases
2020-11-12	21608
2020-11-11	19851
2020-11-10	20977
2020-11-09	21798
2020-11-08	20498
2020-11-07	20396
2020-11-06	20582
2020-11-05	19404
2020-11-04	19768
2020-11-03	18648
2020-11-02	18257
2020-11-01	18665
2020-10-31	18140
2020-10-30	18283
2020-10-29	17717
2020-10-28	16202
2020-10-27	16550
2020-10-26	17347
2020-10-25	16710
2020-10-24	16521
2020-10-23	17340
2020-10-22	15971
2020-10-21	15700
2020-10-20	16319
2020-10-19	15982
2020-10-18	15099
2020-10-17	14922
2020-10-16	15150
2020-10-15	13754
2020-10-14	14231
2020-10-13	13868
2020-10-12	13592
2020-10-11	13634
2020-10-10	12846
2020-10-09	12126
2020-10-08	11493
2020-10-07	11115
2020-10-06	11615
2020-10-05	10888
2020-10-04	10499
2020-10-03	9859
2020-10-02	9412
2020-10-01	8945
2020-09-30	8481
2020-09-29	8232
2020-09-28	8135
2020-09-27	7867
2020-09-26	7523
2020-09-25	7212
2020-09-24	6595
2020-09-23	6431
2020-09-22	6215
2020-09-21	6196
2020-09-20	6148
2020-09-19	6065
2020-09-18	5905
2020-09-17	5762
2020-09-16	5670
2020-09-15	5529
2020-09-14	5509
2020-09-13	5449
2020-09-12	5488
2020-09-11	5504
2020-09-10	5363
2020-09-09	5218
2020-09-08	5099
2020-09-07	5185
2020-09-06	5195
2020-09-05	5205
2020-09-04	5110
2020-09-03	4995
2020-09-02	4952
2020-09-01	4729
2020-08-31	4993
2020-08-30	4980
2020-08-29	4941
2020-08-28	4829
2020-08-27	4711
2020-08-26	4676
2020-08-25	4696
2020-08-24	4744
2020-08-23	4852
2020-08-22	4921
2020-08-21	4870
2020-08-20	4785
2020-08-18	4748
2020-08-17	4892
2020-08-16	4969
2020-08-15	5061
2020-08-14	5065
2020-08-13	5057
2020-08-12	5102
2020-08-11	4945
2020-08-10	5118
2020-08-09	5189
2020-08-08	5212
2020-08-07	5241
2020-08-06	5267
2020-08-05	5204
2020-08-04	5159
2020-08-03	5394
2020-08-02	5427
2020-08-01	5462
2020-07-31	5482
2020-07-30	5509
2020-07-29	5475
2020-07-28	5395
2020-07-27	5635
2020-07-26	5765
2020-07-25	5871
2020-07-24	5811
2020-07-23	5848
2020-07-22	5862
2020-07-21	5842
2020-07-20	5940
2020-07-19	6109
2020-07-18	6234
2020-07-17	6406
2020-07-16	6428
2020-07-15	6422
2020-07-14	6248
2020-07-13	6537
2020-07-12	6615
2020-07-11	6611
2020-07-10	6635
2020-07-09	6509
2020-07-08	6562
2020-07-07	6368
2020-07-06	6611
2020-07-05	6736
2020-07-04	6632
2020-07-03	6718
2020-07-02	6760
2020-07-01	6556
2020-06-30	6693
2020-06-29	6719
2020-06-28	6791
2020-06-27	6852
2020-06-26	6800
2020-06-25	7113
2020-06-24	7176
2020-06-23	7425
2020-06-22	7600
2020-06-21	7728
2020-06-20	7889
2020-06-19	7972
2020-06-18	7790
2020-06-17	7843
2020-06-16	8248
2020-06-15	8835
2020-06-14	8246
2020-06-13	8706
2020-06-12	8987
2020-06-11	8779
2020-06-10	8404
2020-06-09	8595
2020-06-08	8985
2020-06-07	8984
2020-06-06	8855
2020-06-05	8726
2020-06-04	8831
2020-06-03	8536
2020-06-02	8863
2020-06-01	9035
2020-05-31	9268
2020-05-30	8952
2020-05-29	8572
2020-05-28	8371
2020-05-27	8338
2020-05-26	8915
2020-05-25	8946
2020-05-24	8599
2020-05-23	9434
2020-05-22	8894
2020-05-21	8849
2020-05-20	8764
2020-05-19	9263
2020-05-18	8926
2020-05-17	9709
2020-05-16	9200
2020-05-15	10598
2020-05-14	9974
2020-05-13	10028
2020-05-12	10899
2020-05-11	11656
2020-05-10	11012
2020-05-09	10817
2020-05-08	10699
2020-05-07	11231
2020-05-06	10559
2020-05-05	10102
2020-05-04	10581
2020-05-03	10633
2020-05-02	9623
2020-05-01	7933
2020-04-30	7099
2020-04-29	5841
2020-04-28	6411
2020-04-27	6198
2020-04-26	6361
2020-04-25	5966
2020-04-24	5849
2020-04-23	4774
2020-04-22	5236
2020-04-21	5642
2020-04-20	4268
2020-04-19	6060
2020-04-18	4785
2020-04-17	4070
2020-04-16	3448
2020-04-15	3388
2020-04-14	2774
2020-04-13	2558
2020-04-12	2186
2020-04-11	1667
2020-04-10	1786
2020-04-09	1459
2020-04-08	1175
2020-04-07	1154
2020-04-06	954
2020-04-05	658
2020-04-04	582
2020-04-03	601
2020-04-02	771
2020-04-01	440
2020-03-31	500
2020-03-30	302
2020-03-29	270
2020-03-28	228
2020-03-27	196
2020-03-26	182
2020-03-25	163
2020-03-24	57
2020-03-23	71
2020-03-22	61
2020-03-21	53
2020-03-20	54
2020-03-19	52
2020-03-18	33
2020-03-17	21
2020-03-16	30
2020-03-15	4
2020-03-14	14
2020-03-13	11
2020-03-12	6
2020-03-09	3
2020-03-08	3
2020-03-07	4
2020-03-06	6
2020-03-05	1
2020-03-02	1
